id,,product_tmpl_id,,type,bom_line_ids/product_id,bom_line_ids/product_qty
product.product_bom_1,CN201-Green+WC101,FOFO ชุดมีดเซรามิกด้ามสีพร้อมฐานวาง + เขียงไม้เนื้อแข็ง 26x38 ซม. (ฟรี หม้อด้าม 16 ซม.),X,phantom,CN201,1
,,,Y,,WC101,1
product.product_bom_3,CN202-Black+WC101,FOFO ชุด มีด เซรามิก ด้ามสีใบมีดดำ  + เขียง ไม้เนื้อแข็ง 26x38 ซม. (ฟรี หม้อด้าม 16 ซม.),X,phantom,CN202,1
,,,Y,,WC101,1
product.product_bom_5,CN203+WC101,FOFO ชุดมีดเซรามิกด้ามไม้พร้อมฐานวาง + เขียงไม้เนื้อแข็ง แถม ผ้าเช็ดมือชุดกระโปรง (คละสี),X,phantom,CN203,1
,,,Y,,WC101,1
product.product_bom_7,CS3102D-black,FOFO ชุดแก้ว ชา/กาแฟ เซรามิก พร้อมจานรอง - สีดำ (2 ใบ),X,phantom,cs3102d,2
product.product_bom_8,"CS3102D-black,pink",FOFO ชุด แก้ว กาแฟ เซรามิก 250 ML. - สีดำ/ชมพู (4 ใบ),X,phantom,cs3102d,4
product.product_bom_9,CS3102D-orange*6,FOFO ชุด แก้ว กาแฟ ขนาดกะทัดรัด - สีส้ม 4 ใบ/ชุด (ฟรี แก้วกาแฟ 2 ใบ),X,phantom,cs3102d,6
product.product_bom_10,CS3102D-purple,FOFO ชุดแก้ว ชา/กาแฟ เซรามิก พร้อมจานรอง - สีม่วง (2 ใบ),X,phantom,cs3102d,2
product.product_bom_11,CS3102Q-earthtone,FOFO ชุดแก้วกาแฟเซรามิก โทนธรรมชาติ (3 ใบ/ชุด),X,phantom,cs3102q,3
product.product_bom_12,CS3102Q-Lime,FOFO แก้ว กาแฟ เซรามิก ทรงสามเหลี่ยม. - เขียวมะนาว 4 ใบ/ชุด,X,phantom,cs3102q,4
product.product_bom_13,"CS3102Q-pink,blue",FOFO ชุด แก้ว กาแฟ เซรามิก ฐานโค้ง 220 ML. - สีฟ้า/ชมพู (4 ใบ),X,phantom,cs3102q,4
product.product_bom_14,CS3102Q-purple,FOFO แก้ว กาแฟ เซรามิก ฐานโค้ง 220 ML. - สีม่วงแก่ 4 ใบ/ชุด,X,phantom,cs3102q,4
product.product_bom_15,CS3102Q-purple*2,FOFO แก้วมัค เซรามิก อเนกประสงค์ ขนาดใหญ่ - สีม่วง 2 ใบ/ชุด,X,phantom,cs3102q,2
product.product_bom_16,"CS3102Q-purple,pink",FOFO 4 ใบ/ชุด แก้ว กาแฟ เซรามิก ฐานโค้ง 220 ML. - สีม่วง/ชมพู,X,phantom,cs3102q,2
product.product_bom_17,CS3102Q-redblood,FOFO แก้ว กาแฟ เซรามิก ฐานโค้ง 220 ML. - สีแดงสด 4 ใบ/ชุด,X,phantom,cs3102q,4
product.product_bom_18,CS3102Q-Yellow,FOFO แก้ว กาแฟ เซรามิก ฐานโค้ง 220 ML. - สีเหลืองสด 4 ใบ/ชุด,X,phantom,cs3102q,4
product.product_bom_19,CS3102T-blue,FOFO ชุด แก้ว กาแฟ เซรามิก ทรงแปดเหลี่ยม 250 ML. - สีฟ้าเข้ม (4 ใบ),X,phantom,cs3102t,4
