id,name,parent_id,type,property_stock_journal,property_account_creditor_price_difference_categ,property_account_income_categ,property_account_expense_categ,property_stock_account_input_categ,property_stock_account_output_categ,property_stock_valuation_account_id,
product.product_category_all,All,,normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_1,Saleable,All,normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_2,Purchasable,All,normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_3,Logistic Cost,Saleable,View,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_4,Supplies,Saleable,View,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_5,CZL,Saleable,View,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_6,YH,Saleable,View,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_7,Ceramic (C ),Saleable,View,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_8,ชาม (CA),Ceramic (C ),View,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_9,ชามปากกลม (CA1),ชาม (CA),Normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_10,ชามใบบัว (CA4),ชาม (CA),Normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_11,จาน (CB),Ceramic (C ),View,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_12,จานปากกลม (CB1),จาน (CB),Normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_13,จานปีก (CB2),จาน (CB),Normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_14,CE,Ceramic (C ),Normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_15,แก้ว (CF),Ceramic (C ),Normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_16,CG,Ceramic (C ),Normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_17,มีด (CN),Ceramic (C ),Normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_18,CS,Ceramic (C ),Normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_19,โรงแรม (CW),Ceramic (C ),View,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_20,Shanxi (CW1),โรงแรม (CW),Normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_21,Guangxi (CW2),โรงแรม (CW),Normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_22,Bone (CW3),โรงแรม (CW),Normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_23,Stone (CH),Ceramic (C ),Normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_24,EC,Saleable,View,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_25,F,Saleable,View,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_26,เคลือบ (K),Saleable,View,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_27,ชาม (KA),เคลือบ (K),Normal,Stock Journal,514000,411000,211900,211900,511000,113000,
product.product_category_28,จาน (KB),เคลือบ (K),Normal,Stock Journal,514000,411000,211900,211900,511000,113000,
