"id","name","sale_ok","landed_cost_ok","purchase_ok","shipping_ok","type","uom_id","list_price","default_code","cost_method","uom_po_id","route_ids","description_purchase","weight_net","packaging_ids/qty","packaging_ids/ul","description_sale","categ_id","valuation","property_stock_account_input","property_stock_account_output","property_account_income","taxes_id_XXX","property_account_expense","property_account_creditor_price_difference","supplier_taxes_id_XXX",
"product.product_1","ชามแบ่ง 5 นิ้ว . (100ใบ)","True","True","True","False","Stockable Product","Unit(s)",,"CA105","Average Price","Unit(s)","Buy","5斗碗",,100,"5斗碗","ชามแบ่ง 5 นิ้ว . (100ใบ)","ชามปากกลม (CA1)","Real Time (automated)",113000,113000,411000,218100,511000,514000,116100,
"product.product_4","ชามกระเบื้องปากกลม 6 นิ้ว (84ใบ)","True","True","True","False","Stockable Product","Unit(s)",,"CA106","Average Price","Unit(s)","Buy","6斗碗",,84,"6斗碗","ชามกระเบื้องปากกลม 6 นิ้ว (84ใบ)","ชามปากกลม (CA1)","Real Time (automated)",113000,113000,411000,218100,511000,514000,116100,
"product.product_8","ชามกระเบื้องขาวล้วน 6นิ้ว (84ใบ)","True","True","True","False","Stockable Product","Unit(s)",,"CA106W","Average Price","Unit(s)","Buy","6寸白碗",,84,"6寸白碗","ชามกระเบื้องขาวล้วน 6นิ้ว (84ใบ)","ชามปากกลม (CA1)","Real Time (automated)",113000,113000,411000,218100,511000,514000,116100,
"product.product_9","ชามกระเบื้องปากกลม 7 นิ้ว (72ใบ)","True","True","True","False","Stockable Product","Unit(s)",,"CA107","Average Price","Unit(s)","Buy","7斗碗",,72,"7斗碗","ชามกระเบื้องปากกลม 7 นิ้ว (72ใบ)","ชามปากกลม (CA1)","Real Time (automated)",113000,113000,411000,218100,511000,514000,116100,
"product.product_12","ชามกระเบื้องปากกลม 7 นิ้ว (72ใบ) (barcode)","True","True","True","False","Stockable Product","Unit(s)",,"CA107B","Average Price","Unit(s)","Buy","7斗碗 贴条码",,72,"7斗碗","ชามกระเบื้องปากกลม 7 นิ้ว (72ใบ) (barcode)","ชามปากกลม (CA1)","Real Time (automated)",113000,113000,411000,218100,511000,514000,116100,
"product.product_14","ชามกระเบื้องขาวล้วน 7 นิ้ว (72ใบ)","True","True","True","False","Stockable Product","Unit(s)",,"CA107W","Average Price","Unit(s)","Buy","7寸白碗",,72,"7寸白碗","ชามกระเบื้องขาวล้วน 7 นิ้ว (72ใบ)","ชามปากกลม (CA1)","Real Time (automated)",113000,113000,411000,218100,511000,514000,116100,
"product.product_16","ชามกระเบื้อง 8นิ้ว(48ใบ)","True","True","True","False","Stockable Product","Unit(s)",,"CA108","Average Price","Unit(s)","Buy","8斗碗",,60,"8斗碗","ชามกระเบื้อง 8นิ้ว(48ใบ)","ชามปากกลม (CA1)","Real Time (automated)",113000,113000,411000,218100,511000,514000,116100,
"product.product_17","ชามกระเบื้องปากกลม 8 นิ้ว (60ใบ)","True","True","True","False","Stockable Product","Unit(s)",,"CA108A","Average Price","Unit(s)","Buy","8斗碗（48个装）",,48,"8斗碗（48个装）","ชามกระเบื้องปากกลม 8 นิ้ว (60ใบ)","ชามปากกลม (CA1)","Real Time (automated)",113000,113000,411000,218100,511000,514000,116100,
"product.product_18","ชามกระเบื้องขาวล้วน 8 นิ้ว (40ใบ)","True","True","True","False","Stockable Product","Unit(s)",,"CA108W","Average Price","Unit(s)","Buy","8寸白碗",,60,"8寸白碗","ชามกระเบื้องขาวล้วน 8 นิ้ว (40ใบ)","ชามปากกลม (CA1)","Real Time (automated)",113000,113000,411000,218100,511000,514000,116100,
"product.product_20","3.5碗","True","True","True","False","Stockable Product","Unit(s)",,"CA135W","Average Price","Unit(s)","Buy","3.5碗",,200,"3.5碗","3.5碗","ชามปากกลม (CA1)","Real Time (automated)",113000,113000,411000,218100,511000,514000,116100,
