id,name,sale_ok,landed_cost_ok,purchase_ok,shipping_ok,type,uom_id,list_price,default_code,cost_method,uom_po_id,route_ids,description_purchase,weight_net,packaging_ids/qty,packaging_ids/ul,description_sale,categ_id,valuation,property_stock_account_input,property_stock_account_output,property_account_income,taxes_id_XXX,property_account_expense,property_account_creditor_price_difference,supplier_taxes_id_XXX
product.product_set_1,FOFO ชุดมีดเซรามิกด้ามสีพร้อมฐานวาง + เขียงไม้เนื้อแข็ง 26x38 ซม. (ฟรี หม้อด้าม 16 ซม.),True,True,True,False,Stockable Product,Unit(s),,CN201-Green+WC101,Average Price,Unit(s),,,,,,,Saleable,Real Time (automated),113000,113000,411000,218100,511000,514000,116100
product.product_set_2,FOFO ชุด มีด เซรามิก ด้ามสีใบมีดดำ  + เขียง ไม้เนื้อแข็ง 26x38 ซม. (ฟรี หม้อด้าม 16 ซม.),True,True,True,False,Stockable Product,Unit(s),,CN202-Black+WC101,Average Price,Unit(s),,,,,,,Saleable,Real Time (automated),113000,113000,411000,218100,511000,514000,116100
product.product_set_3,FOFO ชุดมีดเซรามิกด้ามไม้พร้อมฐานวาง + เขียงไม้เนื้อแข็ง แถม ผ้าเช็ดมือชุดกระโปรง (คละสี),True,True,True,False,Stockable Product,Unit(s),,CN203+WC101,Average Price,Unit(s),,,,,,,Saleable,Real Time (automated),113000,113000,411000,218100,511000,514000,116100
product.product_set_4,FOFO ชุดแก้ว ชา/กาแฟ เซรามิก พร้อมจานรอง - สีดำ (2 ใบ),True,True,True,False,Stockable Product,Unit(s),,CS3102D-black,Average Price,Unit(s),,,,,,,Saleable,Real Time (automated),113000,113000,411000,218100,511000,514000,116100
product.product_set_5,FOFO ชุด แก้ว กาแฟ เซรามิก 250 ML. - สีดำ/ชมพู (4 ใบ),True,True,True,False,Stockable Product,Unit(s),,"CS3102D-black,pink",Average Price,Unit(s),,,,,,,Saleable,Real Time (automated),113000,113000,411000,218100,511000,514000,116100
product.product_set_6,FOFO ชุด แก้ว กาแฟ ขนาดกะทัดรัด - สีส้ม 4 ใบ/ชุด (ฟรี แก้วกาแฟ 2 ใบ),True,True,True,False,Stockable Product,Unit(s),,CS3102D-orange*6,Average Price,Unit(s),,,,,,,Saleable,Real Time (automated),113000,113000,411000,218100,511000,514000,116100
product.product_set_7,FOFO ชุดแก้ว ชา/กาแฟ เซรามิก พร้อมจานรอง - สีม่วง (2 ใบ),True,True,True,False,Stockable Product,Unit(s),,CS3102D-purple,Average Price,Unit(s),,,,,,,Saleable,Real Time (automated),113000,113000,411000,218100,511000,514000,116100
product.product_set_8,FOFO ชุดแก้วกาแฟเซรามิก โทนธรรมชาติ (3 ใบ/ชุด),True,True,True,False,Stockable Product,Unit(s),,CS3102Q-earthtone,Average Price,Unit(s),,,,,,,Saleable,Real Time (automated),113000,113000,411000,218100,511000,514000,116100
product.product_set_9,FOFO แก้ว กาแฟ เซรามิก ทรงสามเหลี่ยม. - เขียวมะนาว 4 ใบ/ชุด,True,True,True,False,Stockable Product,Unit(s),,CS3102Q-Lime,Average Price,Unit(s),,,,,,,Saleable,Real Time (automated),113000,113000,411000,218100,511000,514000,116100
product.product_set_10,FOFO ชุด แก้ว กาแฟ เซรามิก ฐานโค้ง 220 ML. - สีฟ้า/ชมพู (4 ใบ),True,True,True,False,Stockable Product,Unit(s),,"CS3102Q-pink,blue",Average Price,Unit(s),,,,,,,Saleable,Real Time (automated),113000,113000,411000,218100,511000,514000,116100
