id,product_tmpl_id,product_tmpl_id_not_used,name_temp,name/id,min_qty,pricelist_ids/price,pricelist_ids/min_quantity
product.product_supplierinfo_1,ชามแบ่ง 5 นิ้ว . (100ใบ),CA105,Gangyi 刚毅,base.partner_14,1,0.95,1
product.product_supplierinfo_2,ชามแบ่ง 5 นิ้ว . (100ใบ),CA105,Xingye 兴业,base.partner_55,1,0.9,1
product.product_supplierinfo_3,ชามแบ่ง 5 นิ้ว . (100ใบ),CA105,Zhenxing 振兴,base.partner_86,1,0.9,1
product.product_supplierinfo_4,ชามกระเบื้องปากกลม 6 นิ้ว (84ใบ),CA106,Dongyue 东岳,base.partner_10,1,1.1,1
product.product_supplierinfo_5,ชามกระเบื้องปากกลม 6 นิ้ว (84ใบ),CA106,Yinshan 银山,base.partner_68,1,1.1,1
product.product_supplierinfo_6,ชามกระเบื้องปากกลม 6 นิ้ว (84ใบ),CA106,Yuanda 元大,base.partner_84,1,1.11,1
product.product_supplierinfo_7,ชามกระเบื้องปากกลม 6 นิ้ว (84ใบ),CA106,Zhenxing 振兴,base.partner_86,1,1.11,1
product.product_supplierinfo_8,ชามกระเบื้องปากกลม 7 นิ้ว (72ใบ),CA107,Jingxin 景新,base.partner_27,1,1.12,1
product.product_supplierinfo_9,ชามกระเบื้องปากกลม 7 นิ้ว (72ใบ),CA107,Yinshan 银山,base.partner_68,1,1.13,1
product.product_supplierinfo_10,ชามกระเบื้องปากกลม 7 นิ้ว (72ใบ),CA107,Yuanda 元大,base.partner_84,1,1.16,1
product.product_supplierinfo_11,ชามกระเบื้องปากกลม 7 นิ้ว (72ใบ) (barcode),CA107B,Jiaheng 嘉恒,base.partner_25,1,1.15,1
product.product_supplierinfo_12,ชามกระเบื้องปากกลม 7 นิ้ว (72ใบ) (barcode),CA107B,Yinshan 银山,base.partner_68,1,1.16,1
product.product_supplierinfo_13,ชามกระเบื้องขาวล้วน 7 นิ้ว (72ใบ),CA107W,Jiaheng 嘉恒,base.partner_25,1,1.06,1
product.product_supplierinfo_14,ชามกระเบื้องขาวล้วน 7 นิ้ว (72ใบ),CA107W,Yuanda 元大,base.partner_84,1,1.09,1
product.product_supplierinfo_15,ชามกระเบื้องขาวล้วน 8 นิ้ว (40ใบ),CA108W,Gangyi 刚毅,base.partner_14,1,1.42,1
product.product_supplierinfo_16,ชามกระเบื้องขาวล้วน 8 นิ้ว (40ใบ),CA108W,Zhenxing 振兴,base.partner_86,1,1.42,1
product.product_supplierinfo_17,จานลึก 6 นิ้ว (120ใบ),CB106,Gangyi 刚毅,base.partner_14,1,0.87,1
product.product_supplierinfo_18,จานลึก 6 นิ้ว (120ใบ),CB106,Gangyi 刚毅,base.partner_14,1,0.87,1
product.product_supplierinfo_19,จานลึก 6 นิ้ว (120ใบ),CB106,Xingye 兴业,base.partner_55,1,0.88,1
product.product_supplierinfo_20,จานลึกขอบเรียบ 7 นิ้ว (100ใบ),CB107,Gangyi 刚毅,base.partner_14,1,1.07,1
