id,name,type,height,width,length,plu_gross_weight,
product.product_ul_1,3.5碗,box,54,36,21,25,
product.product_ul_2,4.5碗 釉下,box,43,37,26,25,
product.product_ul_3,4.5A碗(有内盒),box,45,37.5,25.5,26,
product.product_ul_4,4.5碗次品,box,48,35,21,,
product.product_ul_5,5斗碗,box,41,26,13,0,
product.product_ul_6,6斗碗,box,46,32,16,23,
product.product_ul_7,7斗碗,box,43,36.5,20,25,
product.product_ul_8,8斗碗,box,43,41,21,25,
product.product_ul_9,8斗碗（48个装）,box,43,41,21,25,
product.product_ul_10,荷花碗6寸,box,41,38,20,,
product.product_ul_11,荷花碗7寸,box,43,32,31,,
product.product_ul_12,荷花碗8寸,box,43,32,31,,
product.product_ul_13,骨瓷白碗6寸,box,39,32,32,,
product.product_ul_14,骨瓷白碗7寸,box,61,38,20,,
product.product_ul_15,骨瓷白碗8寸,box,52,41,22,,
product.product_ul_16,6寸盘,box,40,31,16,0,
product.product_ul_17,7寸盘(100),box,42,36,18,25,
product.product_ul_18,8寸盘,box,41,38,20,25,
product.product_ul_19,9寸盘,box,46.8,28.5,24,25,
product.product_ul_20,4.5白碗（100个装）,box,39,36,24,,
product.product_ul_21,5寸白碗,box,,,,,
product.product_ul_22,6寸白碗,box,43,37,20,,
product.product_ul_23,7寸白碗,box,43,36.5,20,,
product.product_ul_24,8寸白碗,box,43,34.5,21.5,,
product.product_ul_25,6寸白平盘,box,31,31,16,,
product.product_ul_26,8寸白汤盘,box,41,38,20,,
product.product_ul_27,9寸白汤盘,box,47,28,24.5,,
product.product_ul_28,山西6寸白平盘,box,36,16,33,,
product.product_ul_29,山西7寸白平盘,box,38,19,31,,
product.product_ul_30,山西8寸白平盘,box,43,25,22,,
product.product_ul_31,山西9寸白平盘,box,33,23,25,,
product.product_ul_32,山西10寸白平盘,box,27,27,33,,
product.product_ul_33,山西8寸浅盘,box,29,42,22,,
product.product_ul_34,山西9寸浅盘,box,45,26,24,,
product.product_ul_35,山西10寸浅盘,box,39,27,27,,
product.product_ul_36,山西6寸果盘,box,41,31,16,,
product.product_ul_37,山西8寸果盘,box,27,21,42,,
product.product_ul_38,山西9寸果盘,box,23,24,40,,
product.product_ul_39,山西10寸果盘,box,37,26,26,,
product.product_ul_40,山西12寸果盘,box,37,26,26,,
product.product_ul_41,山西5寸罗汉碗,box,39,38.5,26,,
product.product_ul_42,山西6寸罗汉碗,box,47,38,17,,
product.product_ul_43,山西7寸罗汉碗,box,38,56,19,,
product.product_ul_44,山西8寸罗汉碗,box,42,39,21,,
product.product_ul_45,山西8寸汤古,box,40,43,21,,
product.product_ul_46,山西9寸汤古,box,43.5,47,25,,
product.product_ul_47,山西7寸鲍鱼盘,box,38,34,19,,
product.product_ul_48,山西8寸鲍鱼盘,box,42,30,21,,
product.product_ul_49,山西9寸鲍鱼盘,box,48,29,25,,
product.product_ul_50,山西12寸鲍鱼盘,box,,,,,
product.product_ul_51,山西14寸鲍鱼盘,box,,,,,
product.product_ul_52,山西16寸鲍鱼盘,box,,,,,
product.product_ul_53,山西12寸厚边鱼盘,box,,,,,
product.product_ul_54,山西14寸厚边鱼盘,box,,,,,
product.product_ul_55,山西16寸厚边鱼盘,box,,,,,
product.product_ul_56,山西小罗汉碗,box,,,,,
